Replace Part ANT1 2195852-1 in C:\Users\48570\Desktop\altium\PBL4\PCB_Project\PBL44_Sch.SchDoc with 2195852-1 from Antena.SchLib
Update Managed Component C26 From CMP-1036-01631-3[C0805C470J1GACTU] To CMP-1036-01631-3[C0805C470J1GACTU] in PBL44_Sch.SchDoc
Update Managed Component C27 From CMP-2006-04640-1[06035J8R2BBSTR] To CMP-2006-04640-1[06035J8R2BBSTR] in PBL44_Sch.SchDoc
Update Managed Component C28 From CMP-2006-04640-1[06035J8R2BBSTR] To CMP-2006-04640-1[06035J8R2BBSTR] in PBL44_Sch.SchDoc
Update Managed Component D1 From CMP-22017-000005-2[LTST-C190GKT] To CMP-22017-000005-2[LTST-C190GKT] in PBL44_Sch.SchDoc
Update Managed Component D4 From CMP-2000-05191-1[SP0503BAHTG] To CMP-2000-05191-1[SP0503BAHTG] in PBL44_Sch.SchDoc
Update Managed Component D5 From CMP-2000-05191-1[SP0503BAHTG] To CMP-2000-05191-1[SP0503BAHTG] in PBL44_Sch.SchDoc
Update Managed Component D6 From CMP-22017-000005-2[LTST-C190GKT] To CMP-22017-000005-2[LTST-C190GKT] in PBL44_Sch.SchDoc
Update Managed Component D7 From CMP-22017-000005-2[LTST-C190GKT] To CMP-22017-000005-2[LTST-C190GKT] in PBL44_Sch.SchDoc
Update Managed Component D8 From CMP-22017-000005-2[LTST-C190GKT] To CMP-22017-000005-2[LTST-C190GKT] in PBL44_Sch.SchDoc
Update Managed Component D9 From CMP-22017-000005-2[LTST-C190GKT] To CMP-22017-000005-2[LTST-C190GKT] in PBL44_Sch.SchDoc
Update Managed Component D10 From CMP-22017-000005-2[LTST-C190GKT] To CMP-22017-000005-2[LTST-C190GKT] in PBL44_Sch.SchDoc
Replace Part F1 ABLS-12.000MHZ-B4-T in C:\Users\48570\Desktop\altium\PBL4\PCB_Project\PBL44_Sch.SchDoc with ABLS-12.000MHZ-B4-T from AltiumLibraryElements.SchLib
Replace Part J4 3221-10-0300-00 in C:\Users\48570\Desktop\altium\PBL4\PCB_Project\PBL44_Sch.SchDoc with 3221-10-0300-00 from AltiumLibraryElements.SchLib
Update Managed Component L1 From CMP-14484-000953-1[NRS5040T2R2NMGJ] To CMP-14484-000953-1[NRS5040T2R2NMGJ] in PBL44_Sch.SchDoc
Update Managed Component L2 From CMP-1406-00011-1[7447471104] To CMP-1406-00011-1[7447471104] in PBL44_Sch.SchDoc
Update Managed Component L3 From CMP-06042-014178-1[LQW18ANR10G00D] To CMP-06042-014178-1[LQW18ANR10G00D] in PBL44_Sch.SchDoc
Update Managed Component LS1 From CMP-06202-000037-1[7BB-20-6L0] To CMP-06202-000037-1[7BB-20-6L0] in PBL44_Sch.SchDoc
Replace Part P1 Header 2 in C:\Users\48570\Desktop\altium\PBL4\PCB_Project\PBL44_Sch.SchDoc with Header 2 from Miscellaneous Connectors.IntLib
Update Managed Component Q1 From CMP-1177-00033-1[BC847A] To CMP-1177-00033-1[BC847A] in PBL44_Sch.SchDoc
Update Managed Component R1 From CMP-1012-00473-6[ERJ-3EKF4700V] To CMP-1012-00473-6[ERJ-3EKF4700V] in PBL44_Sch.SchDoc
Update Managed Component R2 From CMP-1013-00567-2[RC0805FR-073K3L] To CMP-1013-00567-2[RC0805FR-073K3L] in PBL44_Sch.SchDoc
Update Managed Component R3 From CMP-2000-03816-5[CRCW06030000Z0EA] To CMP-2000-03816-5[CRCW06030000Z0EA] in PBL44_Sch.SchDoc
Update Managed Component R4 From CMP-2000-03816-5[CRCW06030000Z0EA] To CMP-2000-03816-5[CRCW06030000Z0EA] in PBL44_Sch.SchDoc
Update Managed Component R5 From CMP-2000-00553-1[ERJ-3EKF52R3V] To CMP-2000-00553-1[ERJ-3EKF52R3V] in PBL44_Sch.SchDoc
Update Managed Component R6 From CMP-2000-03816-5[CRCW06030000Z0EA] To CMP-2000-03816-5[CRCW06030000Z0EA] in PBL44_Sch.SchDoc
Update Managed Component R8 From CMP-02407-010017-1[MCT06030D5000BP100] To CMP-02407-010017-1[MCT06030D5000BP100] in PBL44_Sch.SchDoc
Update Managed Component R9 From CMP-2000-03816-5[CRCW06030000Z0EA] To CMP-2000-03816-5[CRCW06030000Z0EA] in PBL44_Sch.SchDoc
Update Managed Component R10 From CMP-1666-00003-5[CRCW06031K00FKEA] To CMP-1666-00003-5[CRCW06031K00FKEA] in PBL44_Sch.SchDoc
Replace Part R11 Res3 in C:\Users\48570\Desktop\altium\PBL4\PCB_Project\PBL44_Sch.SchDoc with Res3 from Miscellaneous Devices.IntLib
Update Managed Component R12 From CMP-1666-00003-5[CRCW06031K00FKEA] To CMP-1666-00003-5[CRCW06031K00FKEA] in PBL44_Sch.SchDoc
Update Managed Component R13 From CMP-1012-00473-6[ERJ-3EKF4700V] To CMP-1012-00473-6[ERJ-3EKF4700V] in PBL44_Sch.SchDoc
Update Managed Component R14 From CMP-1012-00473-6[ERJ-3EKF4700V] To CMP-1012-00473-6[ERJ-3EKF4700V] in PBL44_Sch.SchDoc
Update Managed Component R15 From CMP-1012-00473-6[ERJ-3EKF4700V] To CMP-1012-00473-6[ERJ-3EKF4700V] in PBL44_Sch.SchDoc
Update Managed Component R16 From CMP-1012-00473-6[ERJ-3EKF4700V] To CMP-1012-00473-6[ERJ-3EKF4700V] in PBL44_Sch.SchDoc
Update Managed Component R17 From CMP-1012-00473-6[ERJ-3EKF4700V] To CMP-1012-00473-6[ERJ-3EKF4700V] in PBL44_Sch.SchDoc
Update Managed Component R18 From CMP-1013-00567-2[RC0805FR-073K3L] To CMP-1013-00567-2[RC0805FR-073K3L] in PBL44_Sch.SchDoc
Update Managed Component R19 From CMP-1013-00567-2[RC0805FR-073K3L] To CMP-1013-00567-2[RC0805FR-073K3L] in PBL44_Sch.SchDoc
Replace Part R20 Res3 in C:\Users\48570\Desktop\altium\PBL4\PCB_Project\PBL44_Sch.SchDoc with Res3 from Miscellaneous Devices.IntLib
Update Managed Component R21 From CMP-1013-00567-2[RC0805FR-073K3L] To CMP-1013-00567-2[RC0805FR-073K3L] in PBL44_Sch.SchDoc
Update Managed Component R22 From CMP-1013-00567-2[RC0805FR-073K3L] To CMP-1013-00567-2[RC0805FR-073K3L] in PBL44_Sch.SchDoc
Replace Part R23 Res3 in C:\Users\48570\Desktop\altium\PBL4\PCB_Project\PBL44_Sch.SchDoc with Res3 from Miscellaneous Devices.IntLib
Replace Part R26 Res3 in C:\Users\48570\Desktop\altium\PBL4\PCB_Project\PBL44_Sch.SchDoc with Res3 from Miscellaneous Devices.IntLib
Replace Part SW1 MHS133G04 in C:\Users\48570\Desktop\altium\PBL4\PCB_Project\PBL44_Sch.SchDoc with MHS133G04 from Switch_Alcoswitch_MHS133G04_eec.SchLib
Update Managed Component U1 From CMP-0133-00135-1[MCP73832T-3ACI/OT] To CMP-0133-00135-1[MCP73832T-3ACI/OT] in PBL44_Sch.SchDoc
Update Managed Component U3 From CMP-0237-00250-3[STM32F103CBT6] To CMP-0237-00250-3[STM32F103CBT6] in PBL44_Sch.SchDoc
Update Managed Component U3 From CMP-0237-00250-3[STM32F103CBT6] To CMP-0237-00250-3[STM32F103CBT6] in PBL44_Sch.SchDoc
Update Managed Component U? From CMP-0284-00069-1[AD8319ACPZ-R7] To CMP-0284-00069-1[AD8319ACPZ-R7] in PBL44_Sch.SchDoc
